,date,open price,high price,low price,close price,AVG price,adjusted close price,volume,value fluctuation,rate fluctuation
1911,2015-04-14,14.5,14.5,14.3,14.4,14.41,6.29,186500,-0.1,-0.69
1912,2015-04-13,14.6,14.8,14.5,14.5,14.55,6.33,258300,-0.1,-0.68
1913,2015-04-10,14.6,14.7,14.4,14.6,14.55,6.38,102900,0.0,0.0
1914,2015-04-09,14.1,14.6,14.0,14.6,14.27,6.38,353400,0.5,3.55
1915,2015-04-08,14.2,14.2,14.0,14.1,14.02,6.16,162100,-0.1,-0.7
1916,2015-04-07,14.1,14.2,13.9,14.2,14.01,6.2,127200,0.1,0.71
1917,2015-04-06,14.2,14.4,14.0,14.1,14.13,6.16,147700,0.0,0.0
1918,2015-04-03,14.0,14.2,13.8,14.1,13.98,6.16,310200,0.0,0.0
1919,2015-04-02,14.2,14.3,13.7,14.1,13.95,6.16,276800,0.0,0.0
1920,2015-04-01,14.6,14.6,14.1,14.1,14.43,6.16,189200,-0.5,-3.42
1921,2015-03-31,14.5,14.6,14.4,14.6,14.5,6.38,281600,0.1,0.69
1922,2015-03-30,14.6,14.6,14.4,14.5,14.57,6.33,213000,0.0,0.0
1923,2015-03-27,15.0,15.1,14.5,14.5,14.72,6.33,318600,-0.1,-0.68
1924,2015-03-26,14.7,14.8,14.6,14.6,14.75,6.38,150800,-0.2,-1.35
1925,2015-03-25,14.6,15.0,14.6,14.8,14.79,6.47,418500,0.1,0.68
1926,2015-03-24,14.9,15.0,14.5,14.7,14.69,6.42,281800,-0.2,-1.34
1927,2015-03-23,15.3,15.5,14.9,14.9,15.12,6.51,399800,-0.5,-3.25
1928,2015-03-20,15.1,15.4,14.8,15.4,15.08,6.73,614200,0.2,1.32
1929,2015-03-19,15.3,15.5,14.9,15.2,15.12,6.64,664512,-0.1,-0.65
1930,2015-03-18,14.9,15.6,14.9,15.3,15.27,6.68,865300,0.2,1.32
1931,2015-03-17,14.7,15.1,14.7,15.1,14.8,6.6,651300,0.4,2.72
1932,2015-03-16,14.7,15.0,14.7,14.7,14.81,6.42,367400,0.0,0.0
1933,2015-03-13,14.7,14.7,14.4,14.7,14.57,6.42,845100,0.1,0.68
1934,2015-03-12,14.7,14.8,14.6,14.6,14.64,6.38,454300,-0.1,-0.68
1935,2015-03-11,14.7,14.8,14.5,14.7,14.62,6.42,356100,-0.1,-0.68
1936,2015-03-10,14.6,14.8,14.5,14.8,14.69,6.47,403812,0.2,1.37
1937,2015-03-09,14.8,14.8,14.6,14.6,14.68,6.38,374700,-0.3,-2.01
1938,2015-03-06,14.8,14.9,14.7,14.9,14.76,6.51,354900,0.0,0.0
1939,2015-03-05,14.9,14.9,14.8,14.9,14.81,6.51,461200,0.0,0.0
1940,2015-03-04,14.8,14.9,14.5,14.9,14.72,6.51,522100,0.1,0.68
1941,2015-03-03,14.6,14.9,14.6,14.8,14.73,6.47,348000,0.1,0.68
1942,2015-03-02,14.7,14.8,14.3,14.7,14.59,6.42,452834,0.0,0.0
1943,2015-02-27,14.8,14.8,14.5,14.7,14.63,6.42,391700,-0.1,-0.68
1944,2015-02-26,14.8,14.8,14.6,14.8,14.65,6.47,334200,-0.1,-0.67
1945,2015-02-25,14.8,14.9,14.7,14.9,14.75,6.51,409500,0.0,0.0
1946,2015-02-24,15.0,15.0,14.8,14.9,14.9,6.51,202100,-0.1,-0.67
1947,2015-02-13,15.0,15.1,14.9,15.0,14.97,6.55,199200,-0.1,-0.66
1948,2015-02-12,15.0,15.1,14.9,15.1,14.98,6.6,346800,0.1,0.67
1949,2015-02-11,15.0,15.1,14.5,15.0,14.96,6.55,256200,-0.1,-0.66
1950,2015-02-10,14.9,15.1,14.9,15.1,14.97,6.6,411500,0.2,1.34
1951,2015-02-09,14.6,15.0,14.6,14.9,14.82,6.51,496700,0.2,1.36
1952,2015-02-06,14.5,14.7,14.4,14.7,14.58,6.42,291900,0.1,0.68
1953,2015-02-05,14.5,14.8,14.5,14.6,14.63,6.38,334800,0.0,0.0
1954,2015-02-04,14.5,14.7,14.5,14.6,14.53,6.38,268500,0.0,0.0
1955,2015-02-03,14.6,15.0,14.6,14.6,14.71,6.38,175100,0.0,0.0
1956,2015-02-02,14.7,14.7,14.5,14.6,14.55,6.38,290200,-0.1,-0.68
1957,2015-01-30,14.6,14.8,14.6,14.7,14.66,6.42,189600,0.0,0.0
1958,2015-01-29,14.5,14.7,14.5,14.7,14.53,6.42,591900,0.1,0.68
1959,2015-01-28,14.6,14.8,14.5,14.6,14.59,6.38,781800,0.0,0.0
1960,2015-01-27,15.0,15.2,14.5,14.6,14.86,6.38,285300,-0.5,-3.31
1961,2015-01-26,15.4,15.4,14.9,15.1,15.02,6.6,371000,0.1,0.67
1962,2015-01-23,14.6,15.1,14.5,15.0,14.71,6.55,719800,0.5,3.45
1963,2015-01-22,14.5,14.6,13.8,14.5,14.18,6.33,343300,0.1,0.69
1964,2015-01-21,14.4,14.8,14.3,14.4,14.47,6.29,332300,0.0,0.0
1965,2015-01-20,14.6,14.9,14.4,14.4,14.62,6.29,226900,-0.1,-0.69
1966,2015-01-19,15.6,15.8,14.4,14.5,14.91,6.33,476300,-1.1,-7.05
1967,2015-01-16,15.6,16.0,15.5,15.6,15.67,6.82,316534,-0.4,-2.5
1968,2015-01-15,15.6,16.2,15.6,16.0,15.82,6.99,505500,0.3,1.91
1969,2015-01-14,15.2,15.8,15.0,15.7,15.5,6.86,477800,0.4,2.61
